NAME	X	Y
TYPE	numeric	numeric
MGH36_P4_C04	0.852081232	0.165488643
MGH36_P4_C05	0.616289779	0.293293055
MGH36_P4_C06	0.504217634	0.323094976
MGH36_P4_C07	0.68633109	0.253104617
MGH36_P4_C08	0.404718254	0.325909615
MGH36_P4_C10	0.516414126	0.26961534
MGH36_P4_C11	0.224951319	0.310625777
MGH36_P4_C12	0.467718056	0.393161418
MGH36_P4_D01	0.633438289	0.369046833
MGH36_P4_D02	0.345111703	0.420826379
MGH36_P4_D07	0.673616722	0.508854441
MGH36_P4_D08	0.686698135	0.39413903
MGH36_P4_D09	0.222815185	0.542382443
MGH36_P4_D10	0.592606481	0.368409005
MGH36_P4_D11	0.620622206	0.322167568
MGH36_P4_D12	0.820696694	0.538479411
MGH36_P4_E02	0.282707286	0.299521285
MGH36_P4_E04	0.440014357	0.111552763
MGH36_P4_E07	0.306020497	0.313051313
MGH36_P4_E08	0.52091118	0.508244525
MGH36_P4_E09	0.456926155	0.374576299
MGH36_P4_E11	1.004342251	0.478668468
MGH36_P4_E12	0.306443738	0.405553003
MGH36_P4_F01	0.318208155	0.482383368
MGH36_P4_F02	0.824795682	0.507857307
MGH36_P4_F03	0.417567398	0.520648271
MGH36_P4_F04	0.505635493	0.281845003
MGH36_P4_F05	0.331228861	0.352806124
MGH36_P4_F06	0.191402273	0.328575013
MGH36_P4_F07	0.736537288	0.6447823
MGH36_P4_F09	0.294844623	0.411183429
MGH36_P4_F10	0.45953972	0.446676441
MGH36_P4_F11	0.369861508	0.445019683
MGH36_P4_F12	0.596288729	0.380491159
MGH36_P4_G02	0.321642796	0.19896192
MGH36_P4_G03	0.308595566	0.336445338
MGH36_P4_G04	0.546231153	0.385836769
MGH36_P4_G05	0.179784754	0.229109947
MGH36_P4_G06	0.623730717	0.41869648
MGH36_P4_G09	0.422841876	0.234378308
MGH36_P4_G10	0.439149255	0.735426328
MGH36_P4_G11	0.384064303	0.362785447
MGH36_P4_H01	0.296093895	0.268809693
MGH36_P4_H05	0.330669894	0.382577876
MGH36_P4_H09	0.572370611	0.590413446
MGH36_P4_H12	0.440539433	0.523307078
MGH36_P6_A02	4.00779883	1.649973463
MGH36_P6_A04	0.463913178	0.315141876
MGH36_P6_A05	0.095642324	0.32491207
MGH36_P6_A07	0.228350343	0.278816193
MGH36_P6_A08	0.30263742	0.356479293
MGH36_P6_A09	0.187227105	0.223548835
MGH36_P6_A10	0.460595357	0.325322595
MGH36_P6_A11	0.94109444	0.434178114
MGH36_P6_B04	0.691917458	0.686354344
MGH36_P6_B05	0.677359062	0.633481845
MGH36_P6_B06	1.001617306	0.71349405
MGH36_P6_B10	0.48039286	0.444137086
MGH36_P6_B11	0.701832611	0.479691729
MGH36_P6_C02	0.773781177	0.490273228
MGH36_P6_C03	0.523132043	0.274812388
MGH36_P6_C04	0.896083097	0.50005797
MGH36_P6_C05	0.566740031	0.501829561
